Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
CNDT;716302;USD;2020;FY;2020-12-31;2021-02-24;2023-02-22;210018000;210018000;4163000000;-3209000000;954000000;-928000000;-468000000;-1000000;-459000000;26000000;-61000000;-60000000;-35000000;-104000000;-139000000;21000000;-118000000;;-118000000;-118000000
CNDT;716302;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;212633000;219817000;4140000000;-3138000000;1002000000;-900000000;-544000000;-4000000;-352000000;102000000;-61000000;-55000000;41000000;-66000000;-25000000;-3000000;-28000000;;-28000000;-28000000
CNDT;716302;USD;2022;FY;2022-12-31;2023-02-22;2024-02-21;193442623;193442623;3858000000;-3018000000;840000000;-677000000;-440000000;-7000000;-230000000;163000000;-83000000;-84000000;80000000;-207000000;-127000000;-55000000;-182000000;;-182000000;-182000000
CNGLU;11818753;USD;2022;FY;2022-12-31;2023-03-31;2024-04-16;21994765;21994765;-206719;;;-1174964;-1174964;;;-1381683;2772773;2772773;1391090;;1391090;-231252;1159838;;1159838;1159838
CNGLU;11818753;USD;2023;FY;2023-12-31;2024-04-16;2024-04-16;3229370;3229370;-149324;;;-1187581;-1187581;;;-1336905;1196903;1196903;-140002;;-140002;-208227;-348229;;-348229;-348229
CNHI;14159399;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;1351000000;1362000000;23551000000;-16797000000;6754000000;-2618000000;-1752000000;-866000000;;4136000000;-1423000000;-734000000;2713000000;-31000000;2682000000;-747000000;2039000000;;2029000000;2029000000
CNHI;14159399;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;1332000000;1350000000;24687000000;-16838000000;7849000000;-2904000000;-1863000000;-1041000000;;4945000000;-2175000000;-1345000000;2770000000;-67000000;2703000000;-594000000;2383000000;;2371000000;2371000000
CNK;760762;USD;2019;FY;2019-12-31;2020-02-21;2022-02-25;116306000;116606000;3283099000;;;-2875703000;-1177216000;;-261155000;407396000;-77500000;-115976000;329896000;-56136000;273760000;-79912000;193848000;;191386000;191386000
CNK;760762;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;116667000;116667000;686300000;;;-1277100000;-314400000;;-259800000;-590800000;-192200000;-148700000;-783000000;-144300000;-927300000;309400000;-617900000;;-616800000;-616800000
CNK;760762;USD;2021;FY;2021-12-31;2022-02-25;2024-02-16;117274000;117274000;1510500000;;;-1735200000;-576100000;;-265400000;-224700000;-180100000;-153800000;-404800000;-34400000;-439200000;16800000;-422400000;;-423000000;-423000000
CNK;760762;USD;2022;FY;2022-12-31;2023-02-24;2024-02-16;118200000;118200000;2454700000;;;-2377700000;-882000000;;-238200000;77000000;-175200000;-154400000;-98200000;-166800000;-265000000;-3000000;-268000000;;-271200000;-271200000
CNK;760762;USD;2023;FY;2023-12-31;2024-02-16;2024-02-16;119100000;152000000;3066700000;;;-2694900000;-1064500000;;-209500000;371800000;-143200000;-118000000;228600000;-7200000;221400000;-29900000;191500000;;188200000;188200000
CNLPL;11818303;USD;2019;FY;2019-12-31;2020-02-27;2022-02-17;6035200;6035200;8526470000;-3040160000;5486310000;-3154806000;-1363113000;;-1080658000;2331504000;-400420000;-533197000;1931084000;-741013000;1190071000;-273499000;916572000;;909053000;909053000
CNLPL;11818303;USD;2020;FY;2020-12-31;2021-02-17;2023-02-15;6035200;6035200;8904430000;;;-6379936000;-1480252000;;-1159059000;2524494000;-429862000;-538452000;2094632000;-535760000;1558872000;-346186000;1212686000;;1205167000;1205167000
CNLPL;11818303;USD;2021;FY;2021-12-31;2022-02-17;2024-02-14;6035200;6035200;9863085000;;;-7276989000;-1739685000;;-1334973000;2586096000;-421052000;-582334000;2165044000;-592775000;1572269000;-344223000;1228046000;;1220527000;1220527000
CNLPL;11818303;USD;2022;FY;2022-12-31;2023-02-15;2024-02-14;6035200;6035200;12289336000;;;-9433131000;-1865328000;;-1643138000;2856205000;-332186000;-678274000;2524019000;-658051000;1865968000;-453574000;1412394000;;1404875000;1404875000
CNLPL;11818303;USD;2023;FY;2023-12-31;2024-02-14;2024-02-14;349580638;349840481;11910705000;;;-8820026000;-1895703000;;-815723000;3090679000;-507372000;-855441000;2583307000;-2858344000;-275037000;-159684000;-434721000;;-442240000;-442240000
CNM;1298294;USD;2020;FY;2021-01-31;2021-03-30;2023-03-28;138978366;138978366;3642000000;-2764000000;878000000;-693000000;-556000000;;-137000000;185000000;-139000000;-139000000;46000000;;46000000;-9000000;37000000;;37000000;37000000
CNM;1298294;USD;2021;FY;2022-01-31;2022-03-30;2024-03-19;240687986;240687986;5004000000;-3724000000;1280000000;-855000000;-717000000;;-138000000;425000000;-98000000;-98000000;327000000;-51000000;276000000;-51000000;225000000;;166000000;166000000
CNM;1298294;USD;2022;FY;2023-01-31;2023-03-28;2024-03-19;169482199;246217004;6651000000;-4856000000;1795000000;-1020000000;-880000000;;-140000000;775000000;-66000000;-66000000;709000000;;709000000;-128000000;581000000;;366000000;366000000
CNM;1298294;USD;2023;FY;2024-01-31;2024-03-19;2024-03-19;172839836;227818077;6702000000;-4884000000;1818000000;-1078000000;-931000000;;-147000000;740000000;-81000000;-81000000;659000000;;659000000;-128000000;531000000;;371000000;371000000
CNMD;1375480;USD;2019;FY;2019-12-31;2020-02-24;2022-02-22;28325000;29495000;955097000;-430382000;524715000;-450789000;-400141000;-45460000;;73926000;-42701000;-42701000;31225000;;31225000;-2605000;28620000;;28620000;28620000
CNMD;1375480;USD;2020;FY;2020-12-31;2021-02-22;2023-02-21;28581000;29464000;862459000;-402159000;460300000;-414290000;-373817000;-40473000;;46010000;-44407000;-44052000;1603000;;1603000;7914000;9517000;;9517000;9517000
CNMD;1375480;USD;2021;FY;2021-12-31;2022-02-22;2024-02-28;29162000;32216000;1010635000;-442599000;568036000;-458319000;-414754000;-43565000;;109717000;-36612000;-35485000;73105000;;73105000;-10563000;62542000;;62542000;62542000
CNMD;1375480;USD;2022;FY;2022-12-31;2023-02-21;2024-02-28;30040000;30040000;1045472000;-474227000;571245000;-501191000;-454039000;-47152000;;70054000;-140916000;-28905000;-70862000;;-70862000;-9720000;-80582000;;-80582000;-80582000
CNMD;1375480;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;30668000;31548000;1244744000;-568499000;676245000;-555642000;-503040000;-52602000;;120603000;-39775000;-39775000;80828000;;80828000;-16369000;64459000;;64459000;64459000
CNNE;6767635;USD;2019;FY;2019-12-31;2020-03-02;2022-02-25;72200000;72400000;1070000000;-1003100000;66900000;-174100000;;;-40700000;-107200000;-2200000;-17800000;-109400000;347300000;237900000;-24200000;98600000;-51800000;77300000;77300000
CNNE;6767635;USD;2020;FY;2020-12-31;2021-02-26;2023-03-01;85700000;85900000;585700000;-619100000;-33400000;-147300000;;;-30700000;-180700000;8200000;-9000000;-172500000;2354400000;2181900000;-481200000;1759800000;;1786200000;1786200000
CNNE;6767635;USD;2021;FY;2021-12-31;2022-02-25;2024-02-29;90100000;90100000;742200000;-697500000;44700000;-178200000;;;-26600000;-133500000;11300000;-9800000;-122200000;-310800000;-433000000;74000000;-286400000;;-287000000;-287000000
CNNE;6767635;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;81600000;81600000;662100000;-630900000;31200000;-175800000;;;-22800000;-144600000;-9800000;-12300000;-154400000;-181200000;-335600000;89900000;-429600000;;-428100000;-428100000
CNNE;6767635;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;73400000;73400000;570000000;-527000000;43000000;-161900000;;;-19000000;-118900000;-4300000;-17900000;-123200000;-83900000;-207100000;77000000;-324100000;;-313400000;-313400000
CNNX;208611;USD;2019;FY;2019-12-31;2020-02-10;2020-02-10;;;305797000;-22943000;282854000;-70032000;-21697000;;-24371000;212822000;-30293000;-30293000;182529000;-7229000;175300000;;175300000;;174311000;174311000
CNP;378108;USD;2019;FY;2019-12-31;2020-02-27;2022-02-22;502000000;505000000;7564000000;-2019000000;5545000000;-4474000000;-2775000000;;-1225000000;1071000000;-516000000;-567000000;555000000;-10000000;545000000;-30000000;515000000;276000000;791000000;674000000
CNP;378108;USD;2020;FY;2020-12-31;2021-02-25;2023-02-17;531000000;531000000;7418000000;-1745000000;5673000000;-4449000000;-2744000000;;-1189000000;1224000000;-465000000;-529000000;759000000;-196000000;563000000;-80000000;483000000;-1256000000;-773000000;-949000000
CNP;378108;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;605000000;609000000;8352000000;-2335000000;6017000000;-4654000000;-2810000000;;-1316000000;1363000000;-471000000;-529000000;892000000;-114000000;778000000;-110000000;668000000;818000000;1486000000;1391000000
CNP;378108;USD;2022;FY;2022-12-31;2023-02-17;2024-02-20;629000000;632000000;9321000000;-3091000000;6230000000;-4664000000;-2833000000;;-1288000000;1566000000;-550000000;-524000000;1016000000;401000000;1417000000;-360000000;1057000000;;1057000000;1008000000
CNP;378108;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;631000000;633000000;8696000000;-2160000000;6536000000;-4776000000;-2850000000;;-1401000000;1760000000;-664000000;-701000000;1096000000;-9000000;1087000000;-170000000;917000000;;917000000;867000000
CNR;1145421;USD;2019;FY;2019-12-31;2020-03-03;2022-03-01;125576000;125576000;4889747000;-3801328000;1088419000;-805438000;-627861000;;-177577000;282981000;-225351000;-228588000;57630000;-68245000;-10615000;-4775000;-15390000;;-15390000;-15390000
CNR;1145421;USD;2020;FY;2020-12-31;2021-03-04;2023-02-24;125506000;125506000;4617369000;-3567049000;1050320000;-813655000;-813655000;;;236665000;-210709000;-213610000;25956000;-503171000;-477215000;-5563000;-482778000;;-482778000;-482778000
CNR;1145421;USD;2021;FY;2021-12-31;2022-03-01;2023-02-24;126159000;127079000;5583137000;-4384062000;1199075000;-893082000;-893082000;;;305993000;-193184000;-191301000;112809000;789018000;901827000;-235968000;665859000;;665859000;658044000
CNR;1145421;USD;2022;FY;2022-12-31;2023-02-10;2023-02-24;127449000;129046000;2744148000;-2232049000;512099000;-429361000;-429361000;;;82738000;-160860000;-157191000;-78122000;-447000;-78569000;15073000;-63496000;;-63496000;-63496000
CNS;820401;USD;2019;FY;2019-12-31;2020-02-28;2022-02-25;47273000;48297000;410830000;-143431000;267399000;-107265000;-47632000;;-4396000;160134000;5742000;6716000;165876000;21673000;187549000;-40565000;146984000;;134621000;134621000
CNS;820401;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;47800000;48676000;427536000;-156457000;271079000;-176022000;-56286000;;-4652000;95057000;2446000;3362000;97503000;-4116000;93387000;-18222000;75165000;;76584000;76584000
CNS;820401;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;48442000;49429000;583832000;-195443000;388389000;-128017000;-48034000;;-4092000;260372000;2788000;2877000;263160000;18784000;281944000;-55790000;226154000;;211396000;211396000
CNS;820401;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;48781000;49297000;566906000;-208831000;358075000;-142137000;-54826000;;-4383000;215938000;6065000;6818000;222003000;-25106000;196897000;-47411000;149486000;;171042000;171042000
CNS;820401;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;49308000;49553000;489637000;-200181000;289456000;-124979000;-66704000;;-4105000;164477000;11483000;14618000;175960000;4291000;180251000;-43642000;136609000;;129049000;129049000
CNSL;897291;USD;2019;FY;2019-12-31;2020-02-28;2022-03-07;70837000;70837000;1336542000;-574936000;761606000;-680325000;-299088000;;-381237000;81281000;-109436000;-136660000;-28155000;4510000;-23645000;3714000;-19931000;;-20383000;-20383000
CNSL;897291;USD;2020;FY;2020-12-31;2021-02-26;2023-03-06;72752000;72752000;1304028000;-560644000;743384000;-600225000;-275361000;;-324864000;143159000;-133498000;-143591000;9661000;-2108000;7553000;-1679000;5874000;31428000;36977000;36977000
CNST;9076321;USD;2019;FY;2019-12-31;2020-03-10;2021-02-24;28151763;28151763;;;;-86055000;-19596000;-66459000;;-86055000;529000;529000;-85526000;;-85526000;-24000;-85550000;;-85550000;-85550000
CNST;9076321;USD;2020;FY;2020-12-31;2021-02-24;2021-02-24;47838738;47838738;;;;-124847000;-29346000;-95501000;;-124847000;-11000;-11000;-124858000;-1460000;-126318000;-39000;-126357000;;-126357000;-126357000
CNTA;11817394;USD;2020;FY;2020-12-31;2021-03-30;2022-03-30;63516656;63516656;;;;-10440000;-1139000;-9301000;;-10440000;87000;-68000;-10353000;-310000;-10663000;;-10663000;;-10663000;-10663000
CNTA;11817394;USD;2021;FY;2021-12-31;2022-03-30;2023-03-30;94019997;94019997;;;;-138548000;-42888000;-95660000;;-138548000;-5542000;-1172000;-144090000;-236867000;-380957000;-114000;-381071000;;-381071000;-381071000
CNTA;11817394;USD;2022;FY;2022-12-31;2023-03-30;2024-03-28;93400513;93400513;;;;-210283000;-55200000;-155083000;;-210283000;-4691000;-7033000;-214974000;-1980000;-216954000;747000;-216207000;;-216207000;-216207000
CNTA;11817394;USD;2023;FY;2023-12-31;2024-03-28;2024-03-28;96177578;96177578;6853000;;;-178136000;-53731000;-124405000;;-171283000;-4858000;570000;-176141000;;-176141000;25056000;-151085000;;-151085000;-151085000
CNTG;1253237;USD;2022;FY;2022-12-31;2023-05-16;2024-05-15;;;49928914;-29145621;20783293;-59913014;-44710215;-18392704;;-39129721;-4624469;-4624469;-43754190;3161508;-40592681;-112535;-40705217;7216990;-33488226;-33488226
CNTG;1253237;USD;2023;FY;2023-12-31;2024-05-15;2024-05-15;;;52524156;-33857822;18666333;-49883663;-48862096;-13376691;;-31217330;-5872931;-5546116;-37090261;-1050786;-38141047;-310582;-38451630;;-38451630;-38451630
CNTQ;11795274;USD;2021;FY;2021-12-31;2022-03-29;2023-04-17;15812499;15812499;78000000;-48375000;29625000;-23158000;-20469000;-2689000;;6467000;-518000;-519000;5949000;;5949000;-1611000;4338000;;4338000;4338000
CNTQ;11795274;USD;2022;FY;2022-12-31;2023-04-17;2023-04-17;38565307;38565307;86251000;-62247000;24004000;-58001000;-55237000;-2764000;;-33997000;-6905000;-6945000;-40902000;622000;-40280000;709000;-39571000;;-39571000;-39571000
CNTX;11035980;USD;2020;FY;2020-12-31;2021-03-23;2022-03-23;15966053;15966053;;;;-2572168;-930667;-1641501;;-2572168;-661224;-661224;-3233392;9877857;6644465;;6644465;;6644465;6644465
CNTX;11035980;USD;2021;FY;2021-12-31;2022-03-23;2023-03-22;2833674;2833674;;;;-7437987;-3632920;-3805067;;-7437987;59632;-64240;-7378355;-3078515;-10456870;;-10456870;;-10456870;-10456870
CNTX;11035980;USD;2022;FY;2022-12-31;2023-03-22;2024-03-21;15966053;15966053;;;;-14881203;-7790040;-7091163;;-14881203;545264;547268;-14335939;-500000;-14835939;;-14835939;;-14835939;-14835939
CNTX;11035980;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;15966053;15966053;;;;-25072616;-7289885;-17782731;;-25072616;1108405;1163975;-23964211;;-23964211;;-23964211;;-23964211;-23964211
CNTY;9075876;USD;2019;FY;2019-12-31;2020-03-13;2022-03-08;29452000;29452000;218227000;-126450000;91777000;-80511000;-69667000;;-10843000;11266000;-6747000;;4519000;-16486000;-11967000;-4174000;-16141000;;-19155000;-19155000
CNTY;9075876;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;29559000;29559000;304268000;-168951000;135317000;-106780000;-80246000;;-26534000;28537000;-43161000;;-14624000;-28664000;-43288000;-4848000;-48136000;;-48002000;-48002000
CNTY;9075876;USD;2021;FY;2021-12-31;2022-03-08;2024-03-14;29593000;31388000;388506000;-199737000;188769000;-120251000;-92189000;;-26762000;68518000;-42658000;-42658000;25860000;2289000;28149000;-6371000;21778000;;20622000;20622000
CNTY;9075876;USD;2022;FY;2022-12-31;2023-03-10;2024-03-14;29809000;31480000;430529000;-231436000;199093000;-132576000;-104262000;;-27109000;66517000;-61731000;-64980000;4786000;1224000;6010000;7660000;13670000;;7976000;7976000
CNTY;9075876;USD;2023;FY;2023-12-31;2024-03-14;2024-03-14;30274000;30274000;550206000;-297671000;252535000;-191270000;-140505000;;-41043000;61265000;-90690000;-91811000;-29425000;5593000;-23832000;5343000;-18489000;;-28198000;-28198000
CNX;976576;USD;2019;FY;2019-12-31;2020-02-10;2022-02-10;190727122;190727122;1922449000;-465472000;1456977000;-827034000;-143550000;;-508463000;629943000;-151379000;-151379000;478564000;-418880000;59684000;-27736000;31948000;;-80730000;-80730000
CNX;976576;USD;2020;FY;2020-12-31;2021-02-09;2023-02-09;199225441;199225441;1257978000;-425775000;832203000;-760659000;-109375000;;-501821000;71544000;-170806000;-170806000;-99262000;-503569000;-602831000;174087000;-428744000;;-483775000;-483775000
CNX;976576;USD;2021;FY;2021-12-31;2022-02-10;2024-02-08;208454502;217289385;756792000;-398312000;358480000;-852310000;-112757000;;-515118000;-493830000;-151156000;-151156000;-644986000;8473000;-636513000;137870000;-498643000;;-498643000;-498643000
CNX;976576;USD;2022;FY;2022-12-31;2023-02-09;2024-02-08;215971381;215971381;1261211000;-422923000;838288000;-908577000;-121697000;;-461215000;-70289000;-127689000;-127689000;-197978000;-13969000;-211947000;69870000;-142077000;;-142077000;-142077000
CNX;976576;USD;2023;FY;2023-12-31;2024-02-08;2024-02-08;162490245;192013989;3434948000;-420327000;3014621000;-780790000;-125344000;;-433586000;2233831000;-143278000;-143278000;2090553000;132372000;2222925000;-502209000;1720716000;;1720716000;1720716000
CNXC;1234046;USD;2019;FY;2019-11-30;2020-02-16;2022-01-28;51602000;51602000;4707912000;-2959464000;1748448000;-1454116000;-1454116000;;;294332000;-89916000;-92196000;204416000;;204416000;-87252000;117164000;;117164000;117164000
CNXC;1234046;USD;2020;FY;2020-11-30;2021-02-16;2023-01-27;51602000;51602000;4719534000;-3058009000;1661525000;-1352764000;-1352764000;;;308761000;-40866000;-48313000;267895000;;267895000;-103084000;164811000;;164811000;164811000
CNXC;1234046;USD;2021;FY;2021-11-30;2022-01-28;2024-01-29;51355000;51914000;5587015000;-3617527000;1969488000;-1397091000;-1397091000;;;572397000;-16701000;-23046000;555696000;;555696000;-150119000;405577000;;405577000;405577000
CNXC;1234046;USD;2022;FY;2022-11-30;2023-01-27;2024-01-29;51353000;51740000;6324473000;-4067210000;2257263000;-1617071000;-1617071000;;;640192000;-35189000;-70076000;605003000;;605003000;-169363000;435640000;;435049000;435049000
CNXC;1234046;USD;2023;FY;2023-11-30;2024-01-29;2024-01-29;53801000;54010000;7114706000;-4536771000;2577935000;-1916608000;-1916608000;;;661327000;-253099000;-201004000;408228000;;408228000;-94386000;313842000;;313842000;313842000
CNXN;6767753;USD;2019;FY;2019-12-31;2020-02-06;2022-03-14;26335000;26505000;2820034000;-2368724000;451310000;-338635000;-338635000;;;112675000;707000;;113382000;-703000;112679000;-30568000;82111000;;82111000;82111000
CNXN;6767753;USD;2020;FY;2020-12-31;2021-03-16;2023-03-06;26157000;26336000;2590290000;-2171483000;418807000;-345741000;-345741000;;;73066000;1122000;;74188000;-992000;73196000;-17431000;55765000;;55765000;55765000
CNXN;6767753;USD;2021;FY;2021-12-31;2022-03-14;2024-03-07;26196000;26364000;2892595000;-2428016000;464579000;-368062000;-368062000;;;96517000;5000;;96522000;;96522000;-26616000;69906000;;69906000;69906000
CNXN;6767753;USD;2022;FY;2022-12-31;2023-03-06;2024-03-07;26279000;26443000;3124996000;-2598819000;526177000;-405625000;-405625000;;;120552000;1083000;;121635000;;121635000;-32416000;89219000;;89219000;89219000
